flit_id,cmd,addr,payload_bytes,flit_size_bytes,transmitted_bytes,padding_bytes,packing_efficiency_percent,packing_overhead_percent,ack,nak,measured_transmission_ns,measured_accumulation_ns,measured_total_link_ns,theoretical_total_link_ns,error_percent,target_to_conv_ns,host_send_to_ack_ns,host_req_to_ack_ns
1,READ,0x0,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.337
2,READ,0x4,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.006
3,WRITE,0x8,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.342
4,READ,0xc,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.011
5,WRITE,0x10,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.347
6,WRITE,0x14,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.016
7,WRITE,0x18,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.352
8,READ,0x1c,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.021
9,WRITE,0x20,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.357
10,WRITE,0x24,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.026
11,WRITE,0x28,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.362
12,READ,0x2c,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.031
13,READ,0x30,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.367
14,WRITE,0x34,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.036
15,WRITE,0x38,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.372
16,READ,0x3c,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.041
